Date,AAPL,AMD,AMZN,CVX,DIS,GOOG,INTC,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,XOM
2021-01-04,126.23966979980469,92.30000305175781,159.3314971923828,70.02861785888672,174.76649475097656,85.90139770507812,44.90293502807617,111.0857925415039,46.061344146728516,342.12823486328125,267.47259521484375,209.6171875,522.8599853515625,13.078189849853516,126.08370971679688,123.30142211914062,243.2566680908203,326.3592529296875,210.7913360595703,34.533424377441406
2021-01-05,127.80047607421875,92.7699966430664,160.92550659179688,71.9217300415039,175.51405334472656,86.53164672851562,45.75271987915039,111.69023132324219,45.554988861083984,338.1665954589844,269.49151611328125,209.81942749023438,520.7999877929688,13.368657112121582,126.45950317382812,124.0887222290039,245.0366668701172,321.9704284667969,207.64532470703125,36.19768524169922
2021-01-06,123.49853515625,90.33000183105469,156.91900634765625,74.2364501953125,176.18289184570312,86.25180053710938,46.1956901550293,116.93474578857422,44.105743408203125,338.2930908203125,261.8733215332031,204.37890625,500.489990234375,12.580536842346191,124.91260528564453,125.39491271972656,251.9933319091797,335.48248291015625,205.81582641601562,37.12135696411133
2021-01-07,127.7126693725586,95.16000366210938,158.10800170898438,74.58367156982422,175.65174865722656,88.83445739746094,47.18107604980469,120.77478790283203,43.61684799194336,340.97320556640625,267.273681640625,210.1949462890625,508.8900146484375,13.30807113647461,124.51058197021484,124.22290802001953,272.0133361816406,340.86102294921875,206.96771240234375,37.41259765625
2021-01-08,128.8150177001953,94.58000183105469,159.13499450683594,75.29460144042969,175.7599639892578,89.82655334472656,46.69291687011719,120.90813446044922,44.594642639160156,344.8619384765625,266.1100769042969,211.4756317138672,510.3999938964844,13.241002082824707,126.00505065917969,124.16923522949219,293.3399963378906,339.32965087890625,208.5552215576172,37.82865905761719
2021-01-11,125.82022094726562,97.25,155.7104949951172,75.72447204589844,176.15341186523438,87.81401824951172,46.59346389770508,122.71259307861328,43.82637405395508,339.35546875,255.4386444091797,209.42462158203125,499.1000061035156,13.584822654724121,124.17849731445312,123.32825469970703,270.39666748046875,336.864501953125,206.0771942138672,38.97699737548828
2021-01-12,125.6446533203125,95.36000061035156,156.04150390625,77.16290283203125,173.104248046875,86.81148529052734,48.130313873291016,124.64151000976562,43.747806549072266,334.2095642089844,249.7200164794922,206.95948791503906,494.25,13.448441505432129,123.60169982910156,122.612548828125,283.14666748046875,333.7082824707031,202.1761474609375,39.84241485595703
2021-01-13,127.68342590332031,91.77999877929688,158.29449462890625,77.08850860595703,173.2321014404297,87.20165252685547,51.4842414855957,124.75707244873047,43.79145812988281,337.5329895019531,250.2670135498047,208.3172607421875,507.7900085449219,13.49531364440918,124.6154556274414,122.80040740966797,284.8033447265625,331.5325012207031,202.65049743652344,40.29176712036133
2021-01-14,125.75193786621094,90.79000091552734,156.37350463867188,78.94029235839844,170.58621215820312,86.49486541748047,53.563499450683594,125.48594665527344,42.97952651977539,318.625732421875,244.2997589111328,205.120361328125,500.8599853515625,13.164706230163574,123.89012145996094,121.49421691894531,281.6666564941406,327.3210754394531,195.40016174316406,41.86449432373047
2021-01-15,124.02529907226562,88.20999908447266,155.21249389648438,76.12956237792969,168.6288299560547,86.29653930664062,52.053775787353516,123.23705291748047,42.51681900024414,315.0489501953125,249.98854064941406,204.76406860351562,497.9800109863281,12.824874877929688,123.56673431396484,120.58168029785156,275.38665771484375,328.0401306152344,195.13880920410156,39.85074234008789
2021-01-19,124.69839477539062,89.44999694824219,156.03799438476562,78.13014221191406,169.4353790283203,89.01388549804688,52.4244270324707,122.70370483398438,42.35093688964844,317.6608581542969,259.6753845214844,208.41351318359375,501.7699890136719,12.990178108215332,124.15229034423828,119.52598571777344,281.51666259765625,328.8712158203125,195.20655822753906,40.64126205444336
2021-01-20,128.7954864501953,88.75,163.16900634765625,78.849365234375,170.7927703857422,93.78752136230469,53.03916549682617,120.86370086669922,42.49935531616211,326.4029846191406,266.0205993652344,216.02059936523438,586.3400268554688,13.32976245880127,123.5143051147461,118.03189086914062,283.48333740234375,327.610595703125,199.4173583984375,41.21543884277344
2021-01-21,133.5169677734375,91.52999877929688,165.34950256347656,76.06343078613281,168.47146606445312,94.00373077392578,56.46541976928711,119.85034942626953,42.73508071899414,325.94488525390625,271.38116455078125,216.62721252441406,579.8400268554688,13.830162048339844,122.01114654541016,117.91580963134766,281.663330078125,331.49517822265625,198.57518005371094,40.03379821777344
2021-01-22,135.66302490234375,92.79000091552734,164.6114959716797,75.83196258544922,169.9468536376953,94.49083709716797,51.22206497192383,118.92588806152344,42.33348846435547,320.6334228515625,273.0022888183594,217.57086181640625,565.1699829101562,13.675579071044922,121.11970520019531,117.00674438476562,282.21331787109375,324.5383605957031,195.55502319335938,39.467960357666016
2021-01-25,139.41868591308594,94.12999725341797,164.6999969482422,75.14579772949219,169.07144165039062,94.40882873535156,50.1191520690918,117.44140625,42.586666107177734,320.82830810546875,276.49322509765625,221.0181121826172,556.780029296875,13.616487503051758,122.50926208496094,119.02286529541016,293.6000061035156,324.78118896484375,194.54830932617188,39.02692413330078
2021-01-26,139.65281677246094,94.70999908447266,166.30650329589844,73.87271118164062,166.7796630859375,95.29554748535156,49.91123580932617,116.96141052246094,43.03190994262695,319.376220703125,280.5111083984375,223.71429443359375,561.9299926757812,13.399075508117676,123.92506408691406,119.78790283203125,294.36334228515625,320.3923645019531,195.5453338623047,38.169830322265625
