,0
2022-04-20,14811.615041108247
2022-04-21,14560.42019781201
2022-04-22,14258.879978889421
2022-04-25,14482.568471605562
2022-04-26,14172.665355194269
2022-04-27,13428.134103231612
2022-04-28,13790.826118418936
2022-04-29,13244.035772501531
2022-05-02,13331.992992104546
2022-05-03,13288.966622332933
2022-05-04,13676.772663621105
2022-05-05,13163.875903375778
2022-05-06,13129.917142531736
2022-05-09,12740.31392143643
2022-05-10,12892.722703447756
2022-05-11,12614.893763984765
2022-05-12,12433.777640709242
2022-05-13,12793.997260480344
2022-05-16,12817.154936581435
2022-05-17,12994.696592960961
2022-05-18,12306.295235777201
2022-05-19,12294.156386091543
2022-05-20,12304.310041041259
2022-05-23,12574.559202991179
2022-05-24,12563.361775081205
2022-05-25,12722.55290491179
2022-05-26,12915.370502445061
2022-05-27,13200.48415456216
2022-05-31,13016.534189619777
2022-06-01,12939.940204095605
2022-06-02,13130.506926480128
2022-06-03,12888.137038316952
2022-06-06,12913.575206121935
2022-06-07,13053.468707961805
2022-06-08,12952.008171160973
2022-06-09,12707.330746081296
2022-06-10,12365.340893855537
2022-06-13,11904.25643383234
2022-06-14,11836.308982983075
2022-06-15,12081.427110601046
2022-06-16,11819.256047578869
2022-06-17,11871.062080991102
2022-06-21,12283.35733480337
2022-06-22,12334.424160801014
2022-06-23,12523.003735553895
2022-06-24,12786.137389535816
2022-06-27,12773.378011789839
2022-06-28,12504.352977263734
2022-06-29,12627.728709431303
2022-06-30,12517.618184401146
2022-07-01,12584.545289348373
2022-07-05,12607.782500300482
2022-07-06,12776.102081539793
2022-07-07,12872.82266083644
2022-07-08,12915.75639040114
2022-07-11,12753.078520107505
2022-07-12,12523.173202209417
2022-07-13,12454.349629319957
2022-07-14,12524.562621251933
2022-07-15,12764.691808625192
2022-07-18,12633.471076938022
2022-07-19,12931.25775135253
2022-07-20,12940.26961989905
2022-07-21,13030.87108156853
2022-07-22,12900.25505998811
2022-07-25,12895.333677187231
2022-07-26,12783.361893259691
2022-07-27,13209.377213355945
2022-07-28,13471.892780984686
2022-07-29,13571.717439865148
2022-08-01,13557.23655499305
2022-08-02,13478.410241166644
2022-08-03,13705.55942167854
2022-08-04,13697.54537030802
2022-08-05,13640.475238859493
2022-08-08,13471.194596685731
2022-08-09,10257.71348096426
2022-08-10,10491.152652457804
2022-08-11,10413.392878496983
2022-08-12,10675.957747643548
2022-08-15,10788.180624976318
2022-08-16,10789.564858088335
2022-08-17,10674.102456558814
2022-08-18,10765.462505815263
2022-08-19,10596.034785334823
2022-08-22,10376.45867601354
2022-08-23,10354.440743812745
