,MSFT,UNH
,NVDA,PEP
Date,,
2021-01-04,-2.216994964490537,-1.4629271565269997
2021-01-05,-2.359349050379869,-1.7729622492655115
2021-01-06,-2.466141436036594,-0.7339894093972019
2021-01-07,-2.28755678724446,-0.36671267533617274
2021-01-08,-2.1209012401289384,-0.7701811885982102
2021-01-11,-2.5202505302437253,-0.5029895819666156
2021-01-12,-2.6923003538531014,-0.5424871227664946
2021-01-13,-2.5817121196559585,-0.8754084294425877
2021-01-14,-2.7186985114732827,-0.937706419707141
2021-01-15,-2.56421447238387,-0.830203315327988
2021-01-19,-2.2890027791419474,-0.9137335737976348
2021-01-20,-1.7125464152822945,-0.8412247336310147
2021-01-21,-1.9317610908637022,-0.3132806300986708
2021-01-22,-1.7500444562838753,-0.48262576694987874
2021-01-25,-1.369491938978858,-0.7709420515115133
2021-01-26,-0.9759381293882934,-1.3062345451352588
2021-01-27,-0.6314694277314598,-1.0868165294394418
2021-01-28,-0.12069860177047197,-1.0534774741876058
2021-01-29,-0.7629254737241509,-0.7798614051056424
2021-02-01,-0.15474868524430124,-0.8370318166946601
2021-02-02,-0.3469998938120446,-0.8724281674610592
2021-02-03,0.006378753036165232,-0.8446629894823482
2021-02-04,-0.16443593792481376,-1.5757825822627094
2021-02-05,-0.10506731497276155,-2.052063259183653
2021-02-08,-0.5525452853460693,-1.9543296341795215
2021-02-09,-0.3283204533341108,-1.5455548225862155
2021-02-10,-0.7004511218805173,-1.0025117686023501
2021-02-11,-0.8102103186696804,-0.5018040938209795
2021-02-12,-0.5999218083188812,-0.5285542121456391
2021-02-16,-0.931295892241743,-0.8011927400429495
2021-02-17,-0.5911407788744149,-0.7073658683728211
2021-02-18,-0.5880012861381351,-0.8042120969824162
2021-02-19,-0.9167906886445664,-0.4491643439677876
2021-02-22,-1.2262829477765533,-0.20187425575871715
2021-02-23,-1.227467923859148,-0.2604475428257334
2021-02-24,-1.3024312330042742,0.00151526644866832
2021-02-25,-1.1775256451506093,0.23464583648132936
2021-02-26,-1.075179434744905,0.5509293583545171
2021-03-01,-0.7027020450676301,0.39846570060859987
2021-03-02,-0.757999833404758,0.31279616942999505
2021-03-03,-1.0357175676615067,0.5920200615422034
2021-03-04,-0.8736768571429517,0.5017081314410985
2021-03-05,-0.4509298986415145,0.3468663945043065
2021-03-08,-0.3753260131451405,0.6679330990130479
2021-03-09,-0.27411638352652423,0.7330920492227759
2021-03-10,-0.3773406348795012,0.36353904501855056
2021-03-11,-0.21275798920934874,0.6024923010398366
2021-03-12,-0.2701510394548073,0.840414158066211
2021-03-15,-0.5489724768526681,0.7378489825539071
2021-03-16,-0.32276842663219035,0.5860142173562446
2021-03-17,-0.41589409962509005,0.5422796814586313
2021-03-18,-0.6848216025545901,1.2321027756075702
2021-03-19,-0.7897054982598398,1.0285601523716053
2021-03-22,-0.43139311391632773,0.4614071385901108
2021-03-23,-0.21216817471571164,0.22475230798025783
2021-03-24,-0.17930104924096893,0.4512930716488138
2021-03-25,-0.42257412262684624,0.3187504007513227
2021-03-26,-0.18977476600826243,-0.0038660270111091264
